,Time,1,2
S/N,,939300,939300
Type,,TGP-4520,TGP-4520
Description,,TT13,TT13
Property,,Black Probe Temperature,White Probe Temperature
219,2025-03-02 23:20:00,17.329 °C,17.411 °C
220,2025-03-02 23:30:00,17.327 °C,17.409 °C
221,2025-03-02 23:40:00,17.323 °C,17.418 °C
222,2025-03-02 23:50:00,17.330 °C,17.428 °C
223,2025-03-03 00:00:00,17.337 °C,17.438 °C
224,2025-03-03 00:10:00,17.346 °C,17.445 °C
225,2025-03-03 00:20:00,17.352 °C,17.445 °C
226,2025-03-03 00:30:00,17.356 °C,17.451 °C
227,2025-03-03 00:40:00,17.360 °C,17.447 °C
228,2025-03-03 00:50:00,17.362 °C,17.442 °C
229,2025-03-03 01:00:00,17.357 °C,17.434 °C
230,2025-03-03 01:10:00,17.356 °C,17.431 °C
231,2025-03-03 01:20:00,17.352 °C,17.412 °C
232,2025-03-03 01:30:00,17.350 °C,17.415 °C
233,2025-03-03 01:40:00,17.353 °C,17.415 °C
234,2025-03-03 01:50:00,17.357 °C,17.422 °C
235,2025-03-03 02:00:00,17.363 °C,17.428 °C
236,2025-03-03 02:10:00,17.368 °C,17.435 °C
237,2025-03-03 02:20:00,17.372 °C,17.435 °C
238,2025-03-03 02:30:00,17.376 °C,17.438 °C
239,2025-03-03 02:40:00,17.379 °C,17.438 °C
240,2025-03-03 02:50:00,17.383 °C,17.445 °C
241,2025-03-03 03:00:00,17.382 °C,17.432 °C
242,2025-03-03 03:10:00,17.383 °C,17.434 °C
243,2025-03-03 03:20:00,17.383 °C,17.425 °C
244,2025-03-03 03:30:00,17.382 °C,17.419 °C
245,2025-03-03 03:40:00,17.382 °C,17.408 °C
246,2025-03-03 03:50:00,17.379 °C,17.401 °C
247,2025-03-03 04:00:00,17.379 °C,17.396 °C
248,2025-03-03 04:10:00,17.378 °C,17.389 °C
249,2025-03-03 04:20:00,17.376 °C,17.388 °C
250,2025-03-03 04:30:00,17.375 °C,17.388 °C
251,2025-03-03 04:40:00,17.375 °C,17.386 °C
252,2025-03-03 04:50:00,17.373 °C,17.380 °C
