	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
155	2 mar 2025 12:40	-6.210 °C	-6.086 °C
156	2 mar 2025 12:50	-6.210 °C	-6.086 °C
157	2 mar 2025 13:00	-6.210 °C	-6.086 °C
158	2 mar 2025 13:10	-6.210 °C	-6.086 °C
159	2 mar 2025 13:20	-6.210 °C	-6.086 °C
160	2 mar 2025 13:30	-6.210 °C	-6.088 °C
161	2 mar 2025 13:40	-6.210 °C	-6.088 °C
162	2 mar 2025 13:50	-6.210 °C	-6.088 °C
163	2 mar 2025 14:00	-6.210 °C	-6.088 °C
164	2 mar 2025 14:10	-6.210 °C	-6.088 °C
165	2 mar 2025 14:20	-6.211 °C	-6.088 °C
166	2 mar 2025 14:30	-6.211 °C	-6.088 °C
167	2 mar 2025 14:40	-6.210 °C	-6.088 °C
168	2 mar 2025 14:50	-6.211 °C	-6.088 °C
169	2 mar 2025 15:00	-6.211 °C	-6.088 °C
170	2 mar 2025 15:10	-6.211 °C	-6.088 °C
171	2 mar 2025 15:20	-6.211 °C	-6.088 °C
172	2 mar 2025 15:30	-6.211 °C	-6.088 °C
173	2 mar 2025 15:40	-6.208 °C	-6.088 °C
174	2 mar 2025 15:50	-6.211 °C	-6.090 °C
175	2 mar 2025 16:00	-6.210 °C	-6.090 °C
176	2 mar 2025 16:10	-6.211 °C	-6.090 °C
177	2 mar 2025 16:20	-6.211 °C	-6.090 °C
178	2 mar 2025 16:30	-6.210 °C	-6.090 °C
179	2 mar 2025 16:40	-6.210 °C	-6.090 °C
180	2 mar 2025 16:50	-6.211 °C	-6.090 °C
181	2 mar 2025 17:00	-6.211 °C	-6.090 °C
182	2 mar 2025 17:10	-6.211 °C	-6.090 °C
183	2 mar 2025 17:20	-6.211 °C	-6.090 °C
184	2 mar 2025 17:30	-6.210 °C	-6.090 °C
185	2 mar 2025 17:40	-6.211 °C	-6.090 °C
186	2 mar 2025 17:50	-6.211 °C	-6.090 °C
187	2 mar 2025 18:00	-6.211 °C	-6.090 °C
188	2 mar 2025 18:10	-6.211 °C	-6.092 °C
189	2 mar 2025 18:20	-6.211 °C	-6.092 °C
190	2 mar 2025 18:30	-6.211 °C	-6.092 °C
191	2 mar 2025 18:40	-6.210 °C	-6.092 °C
192	2 mar 2025 18:50	-6.211 °C	-6.092 °C
193	2 mar 2025 19:00	-6.211 °C	-6.092 °C
194	2 mar 2025 19:10	-6.211 °C	-6.092 °C
195	2 mar 2025 19:20	-6.211 °C	-6.092 °C
196	2 mar 2025 19:30	-6.208 °C	-6.092 °C
197	2 mar 2025 19:40	-6.210 °C	-6.092 °C
198	2 mar 2025 19:50	-6.210 °C	-6.092 °C
199	2 mar 2025 20:00	-6.210 °C	-6.092 °C
200	2 mar 2025 20:10	-6.210 °C	-6.092 °C
201	2 mar 2025 20:20	-6.210 °C	-6.092 °C
202	2 mar 2025 20:30	-6.210 °C	-6.092 °C
203	2 mar 2025 20:40	-6.210 °C	-6.094 °C
204	2 mar 2025 20:50	-6.210 °C	-6.092 °C
205	2 mar 2025 21:00	-6.210 °C	-6.092 °C
206	2 mar 2025 21:10	-6.210 °C	-6.094 °C
207	2 mar 2025 21:20	-6.210 °C	-6.094 °C
208	2 mar 2025 21:30	-6.210 °C	-6.094 °C
209	2 mar 2025 21:40	-6.210 °C	-6.094 °C
210	2 mar 2025 21:50	-6.210 °C	-6.094 °C
211	2 mar 2025 22:00	-6.210 °C	-6.098 °C
212	2 mar 2025 22:10	-6.210 °C	-6.094 °C
213	2 mar 2025 22:20	-6.210 °C	-6.094 °C
214	2 mar 2025 22:30	-6.210 °C	-6.094 °C
215	2 mar 2025 22:40	-6.210 °C	-6.094 °C
216	2 mar 2025 22:50	-6.210 °C	-6.094 °C
217	2 mar 2025 23:00	-6.210 °C	-6.094 °C
218	2 mar 2025 23:10	-6.210 °C	-6.092 °C
219	2 mar 2025 23:20	-6.210 °C	-6.094 °C
220	2 mar 2025 23:30	-6.210 °C	-6.094 °C
221	2 mar 2025 23:40	-6.210 °C	-6.096 °C
222	2 mar 2025 23:50	-6.210 °C	-6.094 °C
223	3 mar 2025 00:00	-6.210 °C	-6.096 °C
224	3 mar 2025 00:10	-6.210 °C	-6.094 °C
225	3 mar 2025 00:20	-6.210 °C	-6.096 °C
